Ticker               yfinance Ticker           Name
FSG                  FSG.WA                    Fabryki Sprzetu i Narzedzi Górniczych Grupa Kapitalowa FASING S.A.
FTE                  FTE.WA                    Fabryki Mebli FORTE S.A.
GEA                  GEA.WA                    Grenevia S.A.
GIF                  GIF.WA                    Gaming Factory S.A.
GKI                  GKI.WA                    Grupa Kapitalowa IMMOBILE S.A.
GMT                  GMT.WA                    Genomtec S.A.
GOB                  GOB.WA                    Gobarto S.A.
GOP                  GOP.WA                    Games Operators S.A.
GPP                  GPP.WA                    Grupa Pracuj S.A.
GPW                  GPW.WA                    Gielda Papierów Wartosciowych w Warszawie S.A.
GRN                  GRN.WA                    Grodno Spólka Akcyjna
GRX                  GRX.WA                    GreenX Metals Limited
GTC                  GTC.WA                    Globe Trade Centre S.A.
GTN                  GTN.WA                    Getin Holding S.A.
HDR                  HDR.WA                    Przedsiebiorstwo Hydrauliki Silowej HYDROTOR S.A.
HEL                  HEL.WA                    Helio S.A.
HRP                  HRP.WA                    Harper Hygienics S.A.
HRS                  HRS.WA                    Herkules S.A.
HUG                  HUG.WA                    Huuuge, Inc.
IBS                  IBS.WA                    WISE Finance S.A.
ICE                  ICE.WA                    Medinice S.A.
IFI                  IFI.WA                    Ifirma SA
IMC                  IMC.WA                    IMC S.A.
IMP                  IMP.WA                    Imperio Alternatywna Spolka Inwestycyjna S.A.
IMS                  IMS.WA                    IMS S.A.
INC                  INC.WA                    INC S.A.
ING                  ING.WA                    ING Bank Slaski S.A.
INK                  INK.WA                    Instal Kraków S.A.
INL                  INL.WA                    Introl S.A.
INP                  INP.WA                    Inpro S.A.
IPE                  IPE.WA                    IPOPEMA Securities S.A.
IPO                  IPO.WA                    Intersport Polska S.A.
ITB                  ITB.WA                    Interbud-Lublin S.A.
IZB                  IZB.WA                    IZOBLOK S.A.
IZO                  IZO.WA                    Izolacja Jarocin Spolka Akcyjna
IZS                  IZS.WA                    Izostal S.A.
JRH                  JRH.WA                    JRH
JSW                  JSW.WA                    Jastrzebska Spólka Weglowa S.A.
JWW                  JWW.WA                    JWW Invest S.A.
KCH                  KCH.WA                    Krakchemia S.A.
KCI                  KCI.WA                    KCI Spolka Akcyjna
KER                  KER.WA                    Kernel Holding S.A.
KGH                  KGH.WA                    KGHM Polska Miedz S.A.
KGL                  KGL.WA                    KGL SA
KGN                  KGN.WA                    Zespól Elektrocieplowni Wroclawskich KOGENERACJA S.A.
KMP                  KMP.WA                    Przedsiebiorstwo Produkcyjno - Handlowe KOMPAP S.A.
KOM                  KOM.WA                    Komputronik S.A.
KPD                  KPD.WA                    Koszalinskie Przedsiebiorstwo Przemyslu Drzewnego Spólka Akcyjna
KPL                  KPL.WA                    Kino Polska TV Spolka Akcyjna
KRK                  KRK.WA                    Krka, d. d.
KRU                  KRU.WA                    KRUK Spólka Akcyjna
KSG                  KSG.WA                    KSG Agro S.A.
KTY                  KTY.WA                    Grupa Kety S.A.
KVT                  KVT.WA                    Krynica Vitamin S.A.
LBT                  LBT.WA                    Libet S.A.
LBW                  LBW.WA                    Lubawa S.A.
LEN                  LEN.WA                    Lena Lighting S.A.
LES                  LES.WA                    Less S.A.
LKD                  LKD.WA                    Lokum Deweloper S.A.
LPP                  LPP.WA                    LPP SA
LRQ                  LRQ.WA                    Larq S.A.
LSI                  LSI.WA                    LSI Software S.A.
LTX                  LTX.WA                    Lentex S.A.
LWB                  LWB.WA                    Lubelski Wegiel Bogdanka S.A.
MAB                  MAB.WA                    Mabion S.A.
MAK                  MAK.WA                    Makarony Polskie S.A.
MBK                  MBK.WA                    mBank S.A.
MBR                  MBR.WA                    Mo-BRUK S.A.
MBW                  MBW.WA                    Marie Brizard Wine & Spirits SA
MCI                  MCI.WA                    MCI Capital Alternatywna Spólka Inwestycyjna S.A.
MCR                  MCR.WA                    mcr Spolka Akcyjna
MDG                  MDG.WA                    Medicalgorithmics S.A.
MDI                  MDI.WA                    MDI Energia S.A.
MEG                  MEG.WA                    Megaron S.A.
MEX                  MEX.WA                    Mex Polska S.A.
MFO                  MFO.WA                    MFO S.A.
MGT                  MGT.WA                    Mangata Holding S.A.
MIL                  MIL.WA                    Bank Millennium S.A.
MIR                  MIR.WA                    Miraculum S.A.
MLG                  MLG.WA                    MLP Group S.A.
MLK                  MLK.WA                    MLK Foods Public Company LTD
MLS                  MLS.WA                    ML System S.A.
MNC                  MNC.WA                    Mennica Polska S.A.
MOC                  MOC.WA                    Molecure S.A.
MOJ                  MOJ.WA                    MOJ S.A.
MOL                  MOL.WA                    MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság
MON                  MON.WA                    Monnari Trade S.A.
MOV                  MOV.WA                    Movie Games S.A.
MRB                  MRB.WA                    Mirbud S.A.
MRC                  MRC.WA                    Mercator Medical S.A.
MSP                  MSP.WA                    Mostostal Plock S.A.
MSW                  MSW.WA                    Mostostal Warszawa S.A.
MSZ                  MSZ.WA                    Mostostal Zabrze S.A.
MUR                  MUR.WA                    Murapol S.A.
MVP                  MVP.WA                    Marvipol Development S.A.
MWT                  MWT.WA                    M.W. Trade SA
MXC                  MXC.WA                    Maxcom S.A.
MZA                  MZA.WA                    Muza S.A.
NCL                  NCL.WA                    NOCTILUCA
NEU                  NEU.WA                    NEUCA S.A.
NNG                  NNG.WA                    NanoGroup S.A.
NTC                  NTC.WA                    New Tech Capital S.A.
NTT                  NTT.WA                    NTT System S.A.
NTU                  NTU.WA                    Novaturas AB
NVA                  NVA.WA                    P.A. Nova S.A.
NVG                  NVG.WA                    Novavis Group S.A.
NVT                  NVT.WA                    Novita S.A.
NWG                  NWG.WA                    Newag S.A.
NXG                  NXG.WA                    Nexity Global S.A.
ODL                  ODL.WA                    Odlewnie Polskie S.A.
OND                  OND.WA                    Onde S.A.
ONO                  ONO.WA                    onesano S.A.
OPG                  OPG.WA                    CPI FIM SA
OPL                  OPL.WA                    Orange Polska S.A.
OPN                  OPN.WA                    Oponeo.pl S.A.
OTM                  OTM.WA                    Zaklady Przemyslu Cukierniczego Otmuchów S.A.
OTS                  OTS.WA                    OT Logistics S.A.
PAS                  PAS.WA                    Passus S.A.
PAT                  PAT.WA                    Patentus S.A.
PBX                  PBX.WA                    Pekabex S.A.
PCE                  PCE.WA                    Grupa Azoty Zaklady Chemiczne Police S.A.
PCF                  PCF.WA                    PCF Group Spólka Akcyjna
PCO                  PCO.WA                    Pepco Group N.V.
PCR                  PCR.WA                    PCC Rokita SA
PCX                  PCX.WA                    PCC Exol S.A.
PEN                  PEN.WA                    Photon Energy N.V.
PEO                  PEO.WA                    Bank Polska Kasa Opieki S.A.
PEP                  PEP.WA                    Polenergia S.A.
PGE                  PGE.WA                    PGE Polska Grupa Energetyczna S.A.
PGM                  PGM.WA                    PMPG Polskie Media SA
PGV                  PGV.WA                    PGF Polska Grupa Fotowoltaiczna SA
PHN                  PHN.WA                    Polski Holding Nieruchomosci S.A.
PHR                  PHR.WA                    Pharmena S.A.
PJP                  PJP.WA                    PJP Makrum S.A.
PKN                  PKN.WA                    Orlen S.A.
